content_id,client_id,baseline_score,baseline_action,baseline_reason_code,avg_position,days_since_last_update,ctr,word_count,impressions_90d
content_da54cb4484f1,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,8.0,211,0.0,894.0,1
content_10bd2440e4ac,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,7.0,183,0.0,3341.0,11
content_b81e0f46cea9,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,10.3,183,0.0,3962.0,54
content_1d10143d4e52,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,13.4,183,0.0,4003.0,20
content_8bc10f396d2e,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,3.6,211,0.0,1058.0,8
content_f28770298f6d,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,8.9,183,0.0,4268.0,11
content_cf56e2e2e282,client_7f2253d7e2,85,refresh,STRIKING_STALE_CONTENT,19.7,194,0.15,5125.0,61678
content_74961b456728,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,4.0,211,0.0,750.0,1
content_1dcf67c62f50,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,9.6,211,0.0,970.0,7
content_b694314765e5,client_d4735e3a26,85,prune,LOW_IMPRESSIONS_OLD_PAGE,3.3,211,0.0,789.0,4
content_07ce98c6085a,client_4ec9599fc2,85,rewrite metadata,LOW_CTR_ON_PAGE_1,5.3,304,0.0,1442.0,85
content_02b0d6e30129,client_19581e27de,85,rewrite metadata,LOW_CTR_ON_PAGE_1,6.9,313,0.0,,176
content_460b11dcac6a,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,8.0,183,0.0,3715.0,81
content_c2d929d83eaa,client_7f2253d7e2,85,refresh,STRIKING_STALE_CONTENT,17.9,193,0.2,4758.0,7558
content_22ba8c872ab2,client_d029fa3a95,85,prune,LOW_IMPRESSIONS_OLD_PAGE,9.1,183,0.0,4277.0,24
content_e3ff1b093148,client_d029fa3a95,85,rewrite metadata,LOW_CTR_ON_PAGE_1,7.8,183,0.28,4758.0,1408
content_06e19c6486b0,client_4ec9599fc2,85,prune,LOW_IMPRESSIONS_OLD_PAGE,5.0,334,0.0,1300.0,10
content_b8366b9ef4e8,client_6208ef0f77,85,refresh,STRIKING_STALE_CONTENT,12.9,235,0.0,5306.0,64
content_6226ee6adc91,client_d029fa3a95,85,refresh,STRIKING_STALE_CONTENT,17.8,183,0.18,3950.0,545
content_f2b4acf220d9,client_19581e27de,85,prune,LOW_IMPRESSIONS_OLD_PAGE,17.5,305,0.0,,17
